trial_1,trial_2,trial_3
NA,NA,NA
0.5,NA,NA
0.413986452,0.5,NA
0.404055125,0.410369516,0.5
0.407244614,0.38464963,0.417265807
0.414755804,0.375026523,0.386657313
0.423331066,0.372413348,0.370587104
0.432396409,0.372090924,0.363388865
0.438942692,0.372453431,0.354951772
0.44542059,0.373992862,0.352056275
0.450196186,0.378681814,0.351879831
0.455125597,0.382890692,0.35038854
0.45877388,0.387037323,0.350388712
0.462594738,0.391591624,0.353115574
0.464405425,0.395211798,0.35262362
0.465916151,0.399984362,0.354286221
0.468583642,0.403473822,0.3540935
0.471321401,0.4068086,0.358737366
0.471784599,0.412905397,0.35974992
0.473324276,0.415040136,0.3610794
0.475386576,0.420217937,0.362610683
0.476586685,0.421523185,0.365509998
0.476767331,0.42398372,0.368031453
0.478430031,0.427826281,0.369685214
0.478569054,0.43030996,0.371028428
0.479776111,0.433542666,0.373056269
0.480453378,0.435107718,0.377184206
0.4809765,0.438484672,0.380710436
0.482024395,0.440071314,0.38071448
0.482805141,0.443255214,0.382117585
0.483161332,0.444110868,0.384846391
0.48330627,0.446516794,0.387213238
0.4839308,0.448185011,0.389424255
0.484949076,0.449776549,0.38969888
0.484918193,0.451875769,0.391947
0.485710054,0.45388992,0.394316029
0.486091771,0.454370109,0.39749179
0.486174001,0.456294372,0.3984555
0.486787124,0.457511125,0.400080377
0.487128886,0.457695524,0.402134701
